Image ID: 397133, Accuracy: 0.5714285714285714
Image ID: 37777, Accuracy: 0.75
Image ID: 386912, Accuracy: 0.6666666666666666
Image ID: 173383, Accuracy: 0.0
Image ID: 39956, Accuracy: 0.4
Image ID: 340175, Accuracy: 0.4
Image ID: 578500, Accuracy: 0.5
Image ID: 366141, Accuracy: 0.75
Image ID: 524456, Accuracy: 1.0
Image ID: 171190, Accuracy: 0.6666666666666666
Image ID: 494869, Accuracy: 0.6666666666666666
Image ID: 329219, Accuracy: 0.6666666666666666
Image ID: 34873, Accuracy: 1.0
Image ID: 186980, Accuracy: 1.0
Image ID: 363840, Accuracy: 0.8
Image ID: 166277, Accuracy: 1.0
Image ID: 177015, Accuracy: 1.0
Image ID: 460494, Accuracy: 1.0
Image ID: 378605, Accuracy: 1.0
Image ID: 218091, Accuracy: 0.6666666666666666
Image ID: 294831, Accuracy: 0.75
Image ID: 84431, Accuracy: 0.3333333333333333
Image ID: 323355, Accuracy: 0.5
Image ID: 355325, Accuracy: 1.0
Image ID: 9483, Accuracy: 0.5
Image ID: 326082, Accuracy: 0.75
Image ID: 108026, Accuracy: 0.5
Overall Accuracy: 0.6822429906542056
