Image ID: 397133, Accuracy: 0.36363636363636365
Image ID: 37777, Accuracy: 0.5
Image ID: 386912, Accuracy: 0.6
Image ID: 173383, Accuracy: 0.25
Image ID: 39956, Accuracy: 1.0
Image ID: 340175, Accuracy: 0.625
Image ID: 578500, Accuracy: 1.0
Image ID: 366141, Accuracy: 1.0
Image ID: 524456, Accuracy: 0.4
Image ID: 171190, Accuracy: 0.7142857142857143
Image ID: 494869, Accuracy: 0.8
Image ID: 329219, Accuracy: 0.5714285714285714
Image ID: 34873, Accuracy: 0.2857142857142857
Image ID: 186980, Accuracy: 0.3
Image ID: 363840, Accuracy: 0.5
Image ID: 166277, Accuracy: 0.5
Image ID: 177015, Accuracy: 0.8
Image ID: 460494, Accuracy: 0.7142857142857143
Image ID: 378605, Accuracy: 0.6666666666666666
Image ID: 218091, Accuracy: 0.4
Image ID: 294831, Accuracy: 1.0
Image ID: 84431, Accuracy: 1.0
Image ID: 323355, Accuracy: 1.0
Image ID: 355325, Accuracy: 0.8571428571428571
Image ID: 9483, Accuracy: 1.0
Image ID: 326082, Accuracy: 0.5555555555555556
Image ID: 108026, Accuracy: 0.6666666666666666
Overall mAP: 0.6133333333333333
