Image ID: 397133, IoU: 0.7543340727971746
Image ID: 37777, IoU: 0.8277251376129027
Image ID: 386912, IoU: 0.385822116709772
Image ID: 173383, IoU: 0.35913169697868425
Image ID: 39956, IoU: 0.4553210727633573
Image ID: 340175, IoU: 0.8986104414235835
Image ID: 578500, IoU: 0.6060072734459047
Image ID: 366141, IoU: 0.9273402697914547
Image ID: 524456, IoU: 0.7747066636337805
Image ID: 171190, IoU: 0.7870292464597901
Image ID: 494869, IoU: 0.7967380578599553
Image ID: 329219, IoU: 0.44917052491444104
Image ID: 34873, IoU: 0.6814077017297983
Image ID: 186980, IoU: 0.8739122404940481
Image ID: 363840, IoU: 0.8359427650440615
Image ID: 166277, IoU: 0.9249275739487887
Image ID: 177015, IoU: 0.8652334846235836
Image ID: 460494, IoU: 0.7312052217508316
Image ID: 378605, IoU: 0.9349039512179829
Image ID: 218091, IoU: 0.6539042095118368
Image ID: 294831, IoU: 0.8536642933588057
Image ID: 84431, IoU: 0.8448722180483568
Image ID: 323355, IoU: 0.6872784773267284
Image ID: 355325, IoU: 0.9056756783809226
Image ID: 9483, IoU: 0.6148759487473618
Image ID: 326082, IoU: 0.8514504280430009
Image ID: 108026, IoU: 0.8196741830205191
Overall IoU: 0.7444764796162011
